date,regime_label,prob_high_tpu,prob_nonhigh,p01_entry,p10_exit,tpu_level,log_tpu_z,log_vix_z,vix
2020-10-13,High-TPU,0.999729328661425,0.0002706713385749679,0.0033154392807686318,0.0043539299198041646,569.26,0.24119397165430437,0.9200068768482296,25.07
2020-10-14,High-TPU,0.9996079043675805,0.0003920956324195633,0.004274877061704412,0.0047316079582305345,438.98,-0.05071663513532337,1.0485223973380338,26.07
2020-10-15,High-TPU,0.9998350244174122,0.00016497558258770574,0.004638721286383851,0.004859865659052976,1209.06,1.0872846433610317,1.0898527911029923,26.4
2020-10-16,High-TPU,0.999762030959792,0.0002379690402080233,0.005328553435155874,0.005085645436112648,483.62,0.058063925247759565,1.160039536976188,26.97
2020-10-19,High-TPU,0.9999369600506248,6.303994937522963e-05,0.00591826737940603,0.005263612431142245,1162.57,1.043242388155916,1.2132116466477696,27.41
2020-10-20,High-TPU,0.999923964368286,7.603563171399729e-05,0.008874955363973171,0.00601200208006347,919.81,0.780156500966284,1.4188178412980033,29.18
2020-10-21,High-TPU,0.9998069294274035,0.00019307057259649476,0.009214530071770864,0.00608662463383353,1513.86,1.339810148988548,1.4379046165391134,29.35
2020-10-22,High-TPU,0.9975211217437894,0.0024788782562105687,0.007882699197797672,0.005782444201118857,578.45,0.25918242935970986,1.3585902107086452,28.65
2020-10-23,High-TPU,0.9960574267841652,0.003942573215834813,0.006969020555232653,0.00555336135300161,610.51,0.31977269646325934,1.2960692824658264,28.11
2020-10-26,High-TPU,0.9948694862043406,0.0051305137956594105,0.00611701967341051,0.00532091154505263,447.71,-0.028598028333685705,1.2299511740216724,27.55
2020-10-27,High-TPU,0.9951971986076064,0.004802801392393553,0.017623072689141758,0.007536917532419759,700.5,0.4742174046456527,1.7688295442075166,32.46
2020-10-28,High-TPU,0.995890078703281,0.004109921296719049,0.020952349848000432,0.007981733721641493,643.78,0.3793743112910457,1.8577057560156016,33.35
2020-10-29,High-TPU,0.9968540006158114,0.00314599938418864,0.06831644956532744,0.011900296246241648,725.63,0.5138068694342627,2.4780413684767826,40.28
2020-10-30,High-TPU,0.9994006184857308,0.000599381514269133,0.04463057115590724,0.010283388176954884,914.09,0.7731496466438899,2.250942019468693,37.59
2020-11-02,High-TPU,0.9998907173742619,0.00010928262573805159,0.047903086832384936,0.010533682963043023,1247.27,1.1222329921094802,2.288314750957609,38.02
2020-11-03,High-TPU,0.9999631789977541,3.6821002245850145e-05,0.04132862904437814,0.010019072610154292,1439.42,1.2831738270881519,2.2104856044242998,37.13
2020-11-04,High-TPU,0.9999858233184336,1.4176681566497125e-05,0.03144279940817862,0.009138295309760158,1821.64,1.547692645201611,2.0676055728102276,35.55
2020-11-05,High-TPU,0.9999974659959315,2.534004068502277e-06,0.0096700416823192,0.006183909822089567,2400.03,1.8574184891876517,1.4624416978386865,29.57
2020-11-06,High-TPU,0.9999966634498135,3.33655018648823e-06,0.006160330449281302,0.005333232234514293,1699.03,1.4694258515568486,1.2335271471451055,27.58
2020-11-09,High-TPU,0.9999722847753949,2.7715224605079894e-05,0.003138981873237426,0.0042767122425438385,1950.77,1.624619729569044,0.892367946563326,24.86
2020-11-10,High-TPU,0.99939696708628,0.0006030329137201389,0.003945303120084093,0.004608955477484937,1721.5,1.4841835019440883,1.0079417443481533,25.75
2020-11-11,High-TPU,0.9857167392659035,0.0142832607340965,0.003090045098736891,0.00425478341246443,1029.75,0.9069746552733684,0.8844282174145262,24.8
2020-11-12,High-TPU,0.9109250614500007,0.08907493854999922,0.0021469100413792214,0.003777025702966562,817.11,0.6471726800547571,0.7005159249619852,23.45
2020-11-13,High-TPU,0.7276983413076916,0.2723016586923083,0.0035636617324054346,0.004458016980679247,709.77,0.48898415807857293,0.9565008035550628,25.35
2020-11-16,Non-High-TPU,0.37106814477244354,0.6289318552275565,0.0019467107860165211,0.003658041303169609,508.76,0.11498610238356771,0.6511056257259704,23.1
2020-11-17,Non-High-TPU,0.24982330606107542,0.7501766939389246,0.00161655631590492,0.0034423840030312213,722.34,0.5087025436789244,0.5573245094412552,22.45
2020-11-18,Non-High-TPU,0.04906184278146702,0.950938157218533,0.001742429531133928,0.0035278188009762986,449.04,-0.025266205687579996,0.5951587616136418,22.71
2020-11-19,Non-High-TPU,0.0010045637573201313,0.9989954362426798,0.002390195345784604,0.003911971891971381,259.99,-0.6390800492014713,0.7547117809514531,23.84
2020-11-20,Non-High-TPU,0.0003076786907514481,0.9996923213092486,0.0019522035887411982,0.0036614130382654412,259.99,-0.6390800492014713,0.6525277088386672,23.11
2020-11-23,Non-High-TPU,0.0005448164629627475,0.9994551835370373,0.002300317694671855,0.0038632428098690735,598.07,0.2966487680054761,0.7353595492704839,23.7
2020-11-24,Non-High-TPU,0.0008698152956519321,0.9991301847043481,0.0017176007222353983,0.0035113033311550525,903.77,0.760396268674307,0.5879166978914028,22.66
2020-11-25,Non-High-TPU,0.0008473779460070101,0.999152622053993,0.0012724553785573647,0.003183285629081894,660.87,0.4088032220530828,0.4365835206677727,21.64
2020-11-27,Non-High-TPU,0.000779484383973276,0.9992205156160266,0.0011302778407873868,0.003062340851935135,870.63,0.7184345969832037,0.3768275271120361,21.25
2020-11-30,Non-High-TPU,0.00044394333629638926,0.9995560566637036,0.0009955268064235415,0.00293785496489352,650.27,0.39064105934231225,0.3128128426895081,20.84
2020-12-01,Non-High-TPU,5.876857668647765e-05,0.9999412314233135,0.0009144223751484003,0.002857363568363587,314.91,-0.42381878475612916,0.26996532872283546,20.57
2020-12-02,Non-High-TPU,5.214350989986965e-05,0.9999478564901002,0.0009739375530555694,0.0029168735155818614,703.99,0.47979965064511865,0.30175776815856636,20.77
2020-12-03,Non-High-TPU,2.6583667935431814e-05,0.9999734163320646,0.0011028394666347903,0.003037836885748299,556.84,0.2164161256368949,0.3644344035817455,21.17
2020-12-04,Non-High-TPU,7.93354963648631e-06,0.9999920664503635,0.0011407149262112656,0.0030715566122745527,441.92,-0.043219011523400026,0.38146292357413214,21.28
2020-12-07,Non-High-TPU,4.848572139821575e-06,0.9999951514278602,0.0009800651151936923,0.0029228601189751255,409.44,-0.12896521805133573,0.3049201581818897,20.79
2020-12-08,Non-High-TPU,1.2143485607568692e-05,0.9999878565143925,0.001147718150547281,0.0030777085671684877,776.38,0.5897397497906719,0.3845495588228202,21.3
2020-12-09,Non-High-TPU,3.013884482632363e-06,0.9999969861155174,0.0009467627718726267,0.0028900139341071426,391.56,-0.17911954982085848,0.28748922615753997,20.68
2020-12-10,Non-High-TPU,4.201945234125869e-06,0.9999957980547659,0.0015339888769905533,0.0033838829164739067,243.52,-0.7125892610235279,0.5308740027125096,22.27
2020-12-11,Non-High-TPU,0.0004892736422508709,0.9995107263577491,0.001649664116485128,0.003465277145749906,1094.9,0.9758818386235941,0.5675535863549442,22.52
2020-12-14,Non-High-TPU,0.0005184503100577062,0.9994815496899423,0.002064840669134696,0.003729191326419211,529.3,0.15944267448247054,0.6808408782643539,23.31
2020-12-15,Non-High-TPU,0.0006583415211270882,0.9993416584788729,0.0030257979180444445,0.0042256371381325115,1479.37,1.3139236315148994,0.8738119788392966,24.72
2020-12-16,Non-High-TPU,0.00010166353826252389,0.9998983364617374,0.0018343393669205663,0.0035876126022550735,350.31,-0.30415858393121703,0.6210988146122363,22.89
2020-12-17,Non-High-TPU,8.24303082546056e-05,0.9999175696917454,0.0016401468260988747,0.003458728089773926,665.36,0.4164087690498906,0.5646342410002169,22.5
2020-12-18,Non-High-TPU,3.738102314797429e-05,0.999962618976852,0.0013877242738527423,0.00327482154391959,398.96,-0.15808986105844203,0.48032342132706835,21.93
2020-12-21,Non-High-TPU,5.103382279867108e-05,0.9999489661772013,0.0012458788506193768,0.0031613956486219825,767.98,0.5775207311881031,0.42593779931413994,21.57
2020-12-22,Non-High-TPU,3.112268290204493e-05,0.999968877317098,0.0033935830182683095,0.0043872455710418125,435.96,-0.05847074049188617,0.9317813297531949,25.16
2020-12-23,Non-High-TPU,6.677046497769011e-05,0.9999332295350224,0.0026563466325231675,0.004049412940056829,204.0,-0.9114909930755586,0.8080281978290913,24.23
2020-12-24,Non-High-TPU,0.011312295968406329,0.9886877040315937,0.002064840669134696,0.003729191326419211,855.47,0.6987037504971315,0.6808408782643539,23.31
2020-12-28,Non-High-TPU,0.013969433423090294,0.9860305665769097,0.0012309040393833311,0.0031489228424213707,1109.92,0.9911858335480432,0.4198390078079701,21.53
2020-12-29,Non-High-TPU,0.01393369601228318,0.9860663039877168,0.0012956151257265643,0.0032021118678373637,526.59,0.15367696349239304,0.4456810520375044,21.7
2020-12-30,Non-High-TPU,0.014268621236166934,0.985731378763833,0.0019357643244887755,0.003651302739874088,765.93,0.5745184211206537,0.6482596117060293,23.08
2020-12-31,Non-High-TPU,0.014256091895245833,0.9857439081047542,0.0017726236488924095,0.0035476912575692484,1260.28,1.1338885453811502,0.603828220417883,22.77
2021-01-04,Non-High-TPU,0.010929919088865654,0.9890700809111344,0.0017625102265019649,0.0035410605721100624,698.13,0.4704107171639491,0.6009409416902712,22.75
2021-01-05,Non-High-TPU,0.00576480460122499,0.994235195398775,0.005328553435155874,0.005085645436112648,414.72,-0.1145729369288855,1.160039536976188,26.97
2021-01-06,Non-High-TPU,0.00467953818347972,0.9953204618165202,0.0035545346282887824,0.0044542773333151285,277.11,-0.5674497019272527,0.9552044046506567,25.34
