date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-04-12,Low-TPU,Low-TPU,2.124607869238417e-06,1.9850084562794872e-06,0.43033564374462874,0.5696623712469012,6.563262967364688,1.2459275949808895,14.91,708.58
2024-04-15,Low-TPU,Low-TPU,6.186210001984003e-08,2.058403736196338e-06,0.4772821964608758,0.5227157451353709,5.475081844675453,-1.0881811226892353,17.31,238.67
2024-04-16,Low-TPU,Low-TPU,8.911316691600091e-07,2.0579214308989152e-06,0.4817728990058547,0.5182250430726861,5.9641961199537885,0.48911427527833595,19.23,389.24
2024-04-17,Low-TPU,Low-TPU,6.708083727089389e-06,2.0570597665831933e-06,0.4739175244942338,0.526080418445971,6.424252950865037,0.46005683091124805,18.4,616.62
2024-04-18,Low-TPU,Low-TPU,1.0039537312808836e-05,2.0570081482533334e-06,0.45838088624629486,0.5416170567455485,6.7078276407179285,0.2835746898528919,18.21,818.79
2024-04-19,Low-TPU,Low-TPU,7.342483311667933e-07,2.056662070774382e-06,0.42766446059822866,0.5723334827397301,6.128701565413067,-0.5791260753048615,18.0,458.84
2024-04-22,Low-TPU,Low-TPU,2.1338136508262516e-10,1.844203638517059e-06,0.3688936312292124,0.6311045245671711,4.83413675060509,-1.294564814807977,18.71,125.73
2024-04-23,Low-TPU,Low-TPU,4.02228921927341e-10,1.8380174998824134e-06,0.3052312564160364,0.6947669055664869,5.132439862170015,0.29830311156492506,16.94,169.43
2024-04-24,Low-TPU,Low-TPU,3.438368295661445e-10,1.748910027238533e-06,0.23603492982367857,0.7639633212663284,5.153175980878366,0.020736118708351015,15.69,172.98
2024-04-25,Low-TPU,Low-TPU,6.1902511439607214e-09,1.0784015515158472e-06,0.1645267341555889,0.8354721874428991,5.9518917719881586,0.7987157911097924,15.97,384.48
