Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-08-30,21040600,10145600,8843600,43264100,5266100,18500400,11678600,1730100,26951400,11092500,344400.0
2018-08-31,20537800,7192400,8208600,34107800,5808100,17819200,8561400,1579300,24265000,10472900,235000.0
2018-09-04,22147600,8597700,8907000,43145600,6875500,30189400,11944400,2310700,25930200,9571100,343700.0
2018-09-05,32853200,10761300,14229800,32727700,10218900,19196200,9280800,3257000,29669600,14723800,773600.0
2018-09-06,27957600,8083000,11185000,38328900,5940300,28812800,12008200,1960400,24705600,12333800,599600.0
2018-09-07,28462000,11039700,8921600,43644300,5591100,20268800,14598200,1899000,32367000,9247300,755700.0
2018-09-10,33309000,9550200,8109800,29927200,4234000,17823400,9543000,1797100,19864800,8361600,310900.0
2018-09-11,27189800,6945600,9776000,32065200,5683900,28563200,15498000,1534300,18093400,8121600,615700.0
2018-09-12,32536400,10906200,9145600,47963400,11056600,25378800,12482600,1388600,19619800,15220000,713300.0
2018-09-13,25454800,8849000,9428800,44977100,10603800,22074800,8205800,1576500,17548400,9746500,754500.0
2018-09-14,18878400,8478500,6206400,34151000,5929000,18988600,9707400,1828300,26135000,8925200,1190800.0
2018-09-17,29584200,8368500,10358400,26907900,5543000,29457800,7766800,2338800,28518200,10279600,810800.0
2018-09-18,19302000,8691000,7336400,36405600,5422900,20447000,8157000,1451800,19535000,15638500,430100.0
2018-09-19,20870600,7938300,6347400,75551800,4186600,21823000,15854400,2033100,51020000,7791600,2385200.0
2018-09-20,27401800,11466900,9669600,78555500,5083000,25024800,11195200,1928400,35629000,11817800,4554200.0
2018-09-21,46041000,15133900,16075000,64710000,8579100,27420200,16272400,1954600,40685200,10307900,7974600.0
2018-09-24,34513600,11999600,9682800,47985100,5392600,25569000,9201400,2862000,27053600,10648700,6769400.0
2018-09-25,21101000,12369600,8213600,32964400,5215900,26055200,10138000,1710600,40048000,8348300,3994500.0
2018-09-26,26641200,11426200,13460200,60288100,10880500,25457200,17022600,2323300,48164400,10369900,5688600.0
2018-09-27,28466400,8504200,10619200,57492200,7168800,21344200,12559800,1599100,32913600,8892800,3649400.0
2018-09-28,23421200,7545400,7007800,66454900,5995800,29666200,10761800,3145400,30854800,9249700,2306600.0
2018-10-01,20668200,16832100,15697800,49855000,7307100,25425200,8773000,3654400,25157400,8725500,7636900.0
2018-10-02,28014000,8523700,18354000,47629500,5572700,18936800,7347600,2752400,31666400,9592400,5823500.0
2018-10-03,26584800,10534900,18323200,79591400,6367500,26489600,7870000,2625100,49352600,15192700,5146200.0
2018-10-04,46584800,12520900,25919800,94700800,10976400,30385400,11157800,2934700,48151800,19964000,5292200.0
2018-10-05,44577000,14165500,14858600,58148700,12291000,23966400,10704000,3406600,60780000,13903100,2648400.0
2018-10-08,39946000,9359700,14513000,56594900,11924000,23157200,12580200,3076200,42978600,14908300,2170000.0
2018-10-09,30277800,11606800,11788200,47963500,7463900,33633400,22714800,4429900,36227600,13477200,1991400.0
2018-10-10,88286000,34050400,27433200,101604400,22549300,52810600,26403400,4361500,61168000,26121600,4050700.0
